Genus,species,full,Status
Cobitis,calderoni,Cobitis calderoni,N
Cobitis,elazigensis,Cobitis elazigensis,N
Cobitis,elongata,Cobitis elongata,N
Cobitis,elongatoides,Cobitis elongatoides,N
Cobitis,fahirae,Cobitis fahirae,N
Cobitis,granoei,Cobitis granoei,N
Cobitis,kellei,Cobitis kellei,N
Cobitis,levantina,Cobitis levantina,N
Cobitis,paludica,Cobitis paludica,N
Cobitis,punctilineata,Cobitis punctilineata,N
Cobitis,rossomeridionalis,Cobitis rossomeridionalis,N
Cobitis,simplicispina,Cobitis simplicispina,N
Cobitis,strumicae,Cobitis strumicae,N
Cobitis,taenia,Cobitis taenia,U
Cobitis,trichonica,Cobitis trichonica,N
Cobitis,turcica,Cobitis turcica,N
Cobitis,vardarensis,Cobitis vardarensis,N
Cobitis,vardarensis kurui,Cobitis vardarensis kurui,N
Coregonus,albula,Coregonus albula,U
Coregonus,autumnalis,Coregonus autumnalis,N
Coregonus,lavaretus,Coregonus lavaretus,U
Coregonus,nasus,Coregonus nasus,N
Coregonus,oxyrinchus,Coregonus oxyrinchus,N
Coregonus,peled,Coregonus peled,U
Coregonus,pidschian,Coregonus pidschian,N
Coregonus,sardinella,Coregonus sardinella,N
Coregonus,spp.,Coregonus spp.,U
Cottus,gobio,Cottus gobio,U
Cottus,poecilopus,Cottus poecilopus,N
Ctenopharyngodon,idella,Ctenopharyngodon idella,E
Cyprinion,kais,Cyprinion kais,N
Cyprinion,macrostomum,Cyprinion macrostomum,N
Cyprinion,tenuiradius,Cyprinion tenuiradius,N
Cyprinus,carpio,Cyprinus carpio,U
Dicentrarchus,labrax,Dicentrarchus labrax,N
Economidichthys,pygmaeus,Economidichthys pygmaeus,N
Economidichthys,trichonis,Economidichthys trichonis,N
Esox,lucius,Esox lucius,U
Eudontomyzon,danfordi,Eudontomyzon danfordi,N
Eudontomyzon,hellenicus,Eudontomyzon hellenicus,N
Eudontomyzon,mariae,Eudontomyzon mariae,N
Eudontomyzon,stankokaramani,Eudontomyzon stankokaramani,N
Eupallasella,percnurus,Eupallasella percnurus,N
Gambusia,affinis,Gambusia affinis,E
Gambusia,holbrooki,Gambusia holbrooki,E
Garra,variabilis,Garra variabilis,N
Gasterosteus,aculeatus,Gasterosteus aculeatus,U
Gasterosteus,gymnurus,Gasterosteus gymnurus,N
Glyptothorax,armeniacus,Glyptothorax armeniacus,N
Glyptothorax,kurdistanicus,Glyptothorax kurdistanicus,N
Gobio,albipinnatus,Gobio albipinnatus,U
Gobio,banarescui,Gobio banarescui,N
Gobio,elimeius,Gobio elimeius,N
Gobio,gobio,Gobio gobio,U
Gobio,kesslerii,Gobio kesslerii,U
Gobio,persus,Gobio persus,N
Gobio,uranoscopus,Gobio uranoscopus,N
Gobius,niger,Gobius niger,N
Gymnocephalus,acerina,Gymnocephalus acerina,N
Gymnocephalus,baloni,Gymnocephalus baloni,N
Gymnocephalus,cernuus,Gymnocephalus cernuus,U
Gymnocephalus,schraetser,Gymnocephalus schraetser,N
Hemigrammocapoeta,kemali,Hemigrammocapoeta kemali,N
Hemigrammocapoeta,nana,Hemigrammocapoeta nana,U
Hucho,hucho,Hucho hucho,U
hucho,taimen,hucho taimen,N
Huso,huso,Huso huso,U
Hypomesus,olidus,Hypomesus olidus,N
Hypophthalmichthys,molitrix,Hypophthalmichthys molitrix,E
Iberocypris,palaciosi,Iberocypris palaciosi,N
Ictalurus,punctatus,Ictalurus punctatus,E
Ictiobus,cyprinellus,Ictiobus cyprinellus,E
Ictiobus,niger,Ictiobus niger,E
Knipowitschia,cameliae,Knipowitschia cameliae,N
Knipowitschia,caucasica,Knipowitschia caucasica,N
Knipowitschia,croatica,Knipowitschia croatica,N
Knipowitschia,ephesi,Knipowitschia ephesi,N
Knipowitschia,goerneri,Knipowitschia goerneri,N
Knipowitschia,longecaudata,Knipowitschia longecaudata,N
Knipowitschia,mermere,Knipowitschia mermere,N
Knipowitschia,panizzae,Knipowitschia panizzae,N
Knipowitschia,punctatissima,Knipowitschia punctatissima,N
Knipowitschia,thessala,Knipowitschia thessala,N
Ladigesocypris,ghigii,Ladigesocypris ghigii,N
Lampetra,fluviatilis,Lampetra fluviatilis,N
Lampetra,planeri,Lampetra planeri,N
Lepomis,gibbosus,Lepomis gibbosus,E
Lethenteron,camtschaticum,Lethenteron camtschaticum,N
Lethenteron,kessleri,Lethenteron kessleri,N
Lethenteron,zanandreai,Lethenteron zanandreai,N
Leucalburnus,satunini,Leucalburnus satunini,N
Leucaspius,delineatus,Leucaspius delineatus,U
Leuciscus,borysthenicus,Leuciscus borysthenicus,N
Leuciscus,carolitertii,Leuciscus carolitertii,N
Leuciscus,cephalus,Leuciscus cephalus,U
Leuciscus,danilewskii,Leuciscus danilewskii,N
Leuciscus,idus,Leuciscus idus,U
Leuciscus,keadicus,Leuciscus keadicus,N
Leuciscus,lepidus,Leuciscus lepidus,N
Leuciscus,leuciscus,Leuciscus leuciscus,U
Leuciscus,microlepsis,Leuciscus microlepsis,N
Leuciscus,montenigrinus,Leuciscus montenigrinus,N
Leuciscus,pleurobipunctatus,Leuciscus pleurobipunctatus,N
Leuciscus,pyrenaicus,Leuciscus pyrenaicus,U
Leuciscus,souffia,Leuciscus souffia,N
Leuciscus,spurius,Leuciscus spurius,N
Leuciscus,svallize,Leuciscus svallize,N
Liza,abu,Liza abu,N
Liza,aurata,Liza aurata,N
Liza,ramada,Liza ramada,N
Liza,saliens,Liza saliens,N
Lota,lota,Lota lota,U
Mastacembelus,mastacembelus,Mastacembelus mastacembelus,N
Mesogobius,batrachocephalus,Mesogobius batrachocephalus,N
Micropterus,dolomieui,Micropterus dolomieui,E
Micropterus,salmoides,Micropterus salmoides,E
Misgurnus,fossilis,Misgurnus fossilis,U
