species,peter,iucn,fre,googling,status
Arnoglossus laterna,NA,NA,NA,MARINE,drop
Arnoglossus thori,NA,NA,NA,MARINE,drop
Limanda limanda,NA,NA,NA,MARINE,drop
Microstomus kitt,NA,NA,NA,MARINE,drop
Phrynorhombus norvegicus,NA,NA,NA,MARINE,drop
Scophthalmus maeoticus,NA,NA,NA,MARINE,drop
Scophthalmus maximus,NA,NA,NA,MARINE,drop
Scophthalmus rhombus,NA,NA,NA,MARINE,drop
Buglossidium luteum,NA,NA,NA,MARINE,drop
Pegusa lascaris,NA,NA,NA,MARINE,drop
Pegusa nasuta,NA,NA,NA,MARINE,drop
Solea senegalensis,NA,NA,NA,MARINE,drop
Solea solea,NA,NA,NA,MARINE,drop
Synapturichthys kleinii,NA,NA,NA,MARINE,drop
Oncorhynchus aguabonita,NA,NA,NA,FRESHWATER - N America,Exotic
Agonus cataphractus,NA,NA,NA,MARINE,drop
Cottus indus,NA,NA,NA,MARINE,drop
Myoxocephalus scorpius,NA,NA,NA,MARINE,drop
Taurulus bubalis,NA,NA,NA,MARINE,drop
Cyclopterus lumpus,NA,NA,NA,MARINE,drop
Liparis liparis,NA,NA,NA,MARINE,drop
Liparis montagui,NA,NA,NA,MARINE,drop
Scorpaena notata,NA,NA,NA,MARINE,drop
Scorpaena porcus,NA,NA,NA,MARINE,drop
Scorpaena scrofa,NA,NA,NA,MARINE,drop
Sebastes norvegicus,NA,NA,NA,MARINE,drop
Chelidonichthys lucerna,NA,NA,NA,MARINE,drop
Eutrigla gurnardus,NA,NA,NA,MARINE,drop
Pterygoplichthys gibbiceps,NA,NA,NA,FRESHWATER - S America,Exotic
Pangasianodon hypophthalmus,NA,NA,NA,FRESHWATER - SE Asia,Exotic
Silurus soldatovi,NA,NA,NA,FRESHWATER - Russia and China,Exotic
Entelurus aequoreus,NA,NA,NA,MARINE,drop
Hippocampus guttulatus,NA,NA,NA,MARINE,drop
Hippocampus hippocampus,NA,NA,NA,MARINE,drop
Syngnathus rostellatus,NA,NA,NA,MARINE,drop
Syngnathus tenuirostris,NA,NA,NA,MARINE,drop
Myleus pacu,NA,NA,NA,FRESHWATER - S America,Exotic
Lophius piscatorius,NA,NA,NA,MARINE,drop
Chelon auratus,NA,NA,NA,FRESHWATER - Europe,Native
Chelon ramada,NA,NA,NA,FRESHWATER - Europe,Native
Chelon saliens,NA,NA,NA,MARINE,drop
Balistes capriscus,NA,NA,NA,MARINE,drop
Mola mola,NA,NA,NA,MARINE,drop
Arothron meleagris,NA,NA,NA,MARINE,drop
Tetraodon mbu,NA,NA,NA,FRESHWATER - Africa,Exotic
Zeus faber,NA,NA,NA,MARINE,drop
