NOM,WATERWAY,NAVIGATION,fid,id
Locks Méricourt,Seine,185 x 12 m and 160 x 17 and 141 x 12 (three chambers),"91","91"
lock Duffel,Nethe Kanaal,136 x 16 m@@55 x 7.5 m,"770","770"
Lock Kembs,Rhin,185 x 24 m — height : 13.2 m@@185 x 12 m@@ (parallel chambers),"857","857"
Lock Mornimont,Sambre,111.9 x 12.5 m — height : 4.6 m,"168","168"
Lock Himmelstadt,Main,12.3 x 2.5 m — height : 4.3 m,"208","208"
Lock 6 Pouillot,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,67 m","65","65"
Lock 59 Saint-Vit,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,55 m","44","44"
Lock Offenbach,Main,20.2 x 3.5 m — height : 3.18 m,"180","180"
Lock Kanzem,Saar,,"112","112"
Lock Roselies,Sambre,111.9 x 12.5 m — height : 3.6 m,"161","161"
Lock Dietesheim,Main,19.65 x 4 m — height : 3.77 m,"179","179"
Lock Waulsort,Meuse,100 x 12 m — height : 2.4 m,"170","170"
Lock Böllberg (Halle),Saale,,"631","631"
Lock Jaulnes,Petite Seine,"121 x 10,5 m — height : 1,27 m","916","916"
Lock 58 Roset-Fluans,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,8 m","46","46"
Lock Rischmühlenschleuse,Saale,,"630","630"
Lock Besigheim (parallel chambers),Neckar,106 x 12 m — height : 6.3 m@@parallel chambers,"186","186"
Lock,Haren-Rütenbrockerkanal,,"717","717"
Lock Bernburg,Saale,103 x 12 m,"633","633"
Lock Modrany,,192 x 12 m,"604","604"
Lock Hun,Meuse,100 x 12 m — height : 2.02 m,"169","169"
Lock 40,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 40 Baumerousse,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 4,2 m","48","48"
Lock 55 Chamouilley,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,2 m","72","72"
Lock 10 Fléchambault,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,87 m","77","77"
Lock 5 Ablancourt,Canal latéral à la Marne,"38,5 x 5,2 m — height : 1,93 m","74","74"
Lock 30 Plaine de Pompierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,7 m","49","49"
Lock Écuelle,Saône,"185 x 12 m — height : 3,2 m","40","40"
Lock Harrbach,Main,12.5 x 2.5 m — height : 4.9 m,"208","208"
Lock Metz-Nord (small chamber),Moselle,"40,5 x 6 m","105","105"
Lock Vaugris,Rhône,195 x 12 m,"32","32"
Fessenheim Locks,Rhin,"185 x 24 m and 185 x 12 (parallel chambers) — height : 15,1 m","56","56"
Lock 27,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,75 m","52","52"
Lock 14 Hérant,Aisne,"46 x 7,95 m — height : 1,35 m","80","80"
Lock Hasselt,Albertkanaal,200 x 24 m — height : 10.1 m@@2 small chambers 136 x 16 m,"739","739"
Lock Lovosice (large chamber),,,"614","614"
Lock Terneuzen (Oostsluis),Kanaal Terneuzen-Gent,277 x 24 m,"761","761"
Lock Flaesheim,Wesel-Datteln Kanal,220 x 12 m — height : 4 m@@112 x 12 m,"782","782"
Lock 19 Wrzesczyna,,57.4 x 9.6 m,"559","559"
Locks Prinses Maxima,Maas,,"846","846"
Lock Villiers,Petite Seine,"121 x 10,5 m — height : 2,53 m","916","916"
