BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 80-28,Germany,E 80,"Bamberg (Main-Donau-Kanal, 3.0 km)","Bamberg (Main-Donau Kanal, 3,0 km)",No information,Not available,Not available,Not available,Available,No,,,DEBAM,"215","215"
P 80-09,Germany,E 80,"Trier (Moselle, 184.0 km)","Trier (Moselle, 184,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"114","114"
P 91-08,Italy,E 91,"Chioggia (Po-Brondolo Canal, 285.0 km from Milano Terminale)","Chioggia (Canal Po-Brondolo, 285,0 km depuis le Milano Terminale)",3-10 Mt,Available,Available,No information,Available,No,Sea port with connection to inland waterway,Port maritime avec connexion à la voie navigable,ITCHI,"392","392"
P 80-09-01,Ukraine,E 80-09,"Ismail (Danube-Kilia Arm, 93.0 km)","Ismail (Danube-Bras de Kilia, 93,0 km)",3-10 Mt,Available,Available,Not available,Available,No,General and bulk cargo,Marchandises diverses et en vrac,,"359","359"
P 20-01,Germany,E 20,"Cuxhaven (Elbe, 724.0 km)","Cuxhaven (Elbe, 724,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DECUX,"659","659"
P 20-02,Germany,E 20,"Brunsbüttel (Elbehafen, 693.0 km)","Brunsbüttel (Elbehafen, 693,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DEBRB,"667","667"
P 20-03,Germany,E 20,"Bützfleth (Elbe, 668.0 km)","Bützfleet (Elbe, 668,0 km)",3-10 Mt,Not available,Not available,Not available,Not available,Yes,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DEBUZ,"659","659"
P 20-04,Germany,E 20,"Hamburg (Elbe, 618.0–639.0 km)","Hamburg (Elbe, 618,0–639,0 km)",>10 Mt,Available,Available,Available,Available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DEHAM,"662","662"
P 20-05,Germany,E 20,"Lauenburg (Elbe, 568.0 km)","Lauenburg (Elbe, 568,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DELNU,"669","669"
P 20-06,Germany,E 20,"Tangermünde (Elbe, 388.0 km)","Tangermünde (Elbe, 388,0 km)",No information,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"596","596"
P 20-07,Germany,E 20,"Kieswerk Rogätz (Elbe, 354.0 km)","Kieswerk Rogätz (Elbe, 354,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km",,"639","639"
P 20-09,Germany,E 20,"Schönebeck (Elbe, 315.0 km)","Schönebeck (Elbe, 315,0km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"636","636"
P 20-10,Germany,E 20,"Aken (Elbe, 277.0 km)","Aken (Elbe, 277,0 km)",No information,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"635","635"
P 20-11,Germany,E 20,"Torgau (Elbe, 154.0 km)","Torgau (Elbe, 154,0 km)",No information,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"625","625"
P 20-13,Germany,E 20,"Riesa (Elbe, 109.0 km)","Riesa (Elbe, 109,0 km)",No information,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"623","623"
P 20-14,Germany,E 20,"Dresden (Elbe, 57.0 and 61.0 km)","Dresden (Elbe, 57,0 et 61,0 km)",No information,Not available,Not available,Not available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",DEDRS,"619","619"
P 20-15,Czech Republic,E 20,"Decín (Elbe, 737.3 and 739.3 km)","Decín (Elbe, 737,3 et 739,3 km)",0.5-3 Mt,Available,Available,Not available,Available,No,"Bulk cargoes. Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distance","Marchandises en vrac. Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière ge",,"618","618"
P 20-16,Czech Republic,E 20,"Ústí nad Labem (Elbe, 761.5 and 764.0 km)","Ústí nad Labem (Elbe, 761,5 et 764,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,"Bulk cargoes. Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distance","Marchandises en vrac. Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière ge",CZULN,"614","614"
P 20-17,Czech Republic,E 20,"Melník (Elbe, 834.4 km)","Melník (Elbe, 834,4 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Bulk cargoes. Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distance","Marchandises en vrac. Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière ge",,"615","615"
P 20-18,Czech Republic,E 20,"Týnec nad Labem (Elbe, 933.7 km)","Týnec nad Labem (Elbe, 933,7 km)",0.5-3 Mt,Not available,Not available,Available,Not available,No,"Distances to ports on the River Elbe are measured: in Germany – from the Czech/German State border starting from 0.0 km; in the Czech Republic – from the German/Czech State border starting from 726.15 km to avoid duplication of distances in the two c","Les distances relatives aux ports situés sur l’Elbe sont mesurées de la manière suivante: en Allemagne à partir de la frontière germano-tchèque en commençant à 0,0 km; en République tchèque à partir de la frontière germano-tchèque en comm",,"607","607"
