BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 05-02,Belgium,E 05,"Melle (Boven-Zeeschelde, 9.9 km)","Melle (Boven-Zeeschelde, 9,9 km)",No information,No information,No information,No information,No information,No,,,,"763","763"
P 80-01,France,E 80,"Le Havre (Le Havre-Tancarville Canal, 20.0 km)","Le Havre (Canal Le Havre-Tancarville, 20,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Oil products, fuels, minerals","Produits pétroliers, combustibles, minéraux",FRLEH,"93","93"
P 12-02-01,Netherlands,E 12-02,"Meppel (Meppelerdiep, 10.5 km)","Meppel (Meppelerdiep, 10,5 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLMEP,"807","807"
P 15-01-01,Netherlands,E 15-01,"Leeuwarden (Haringsmakanaal, 23.7 km)","Leeuwarden (Haringsmakanaal, 23,7 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLLWR,"797","797"
P 40-02,Poland,E 40,"Bydgoszcz (Wisla, 772.3 km and Brda, 2.0 km)","Bydgoszcz (Wisla, 772,3 km et Brda, 2,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"525","525"
P 15-01,Netherlands,E 15,"Almere (IJsselmeer, 15.0 km)","Almere (Ijsselmeer, 15,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"805","805"
P 01-03-02,Netherlands,E 01-03,"Veghel (Zuid-Willemsvaart, 24.0 km)","Veghel (Zuid-Willemsvaart, 24,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,,"754","754"
P 04-01,Netherlands,E 04,"Vlissingen (Westerschelde, 14.0 km from the mouth)","Vlissingen (Westerschelde, 14,0 km de l’embouchure)",0.5-3 Mt,Available,Available,Available,Available,No,,,NLVLI,"760","760"
P 11-03,Netherlands,E 11,"Amsterdam (Noordzeekanaal, 20.6 km)","Amsterdam (Noordzeekanaal, 20,6 km)",>10 Mt,Available,Available,Available,Available,No,,,NLAMS,"819","819"
P 10-12,Germany,E 10,"Duisburg-Ruhrort Häfen (Rhine, 774.0 km)","Duisburg-Ruhrort Häfen (Rhin, 774,0 km)",>10 Mt,Available,Available,Available,Available,No,,,DEDUI,"783","783"
P 70-04,Germany,E 70,"Minden (Mittellandkanal, 100.0–104.0 km)","Minden (Mittellandkanal, 100,0–104,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEMID,"704","704"
